Zeit [s];Winkel [Grad]
1,32;69,1354894815179
3,2;66,07544017353749
5,08;63,30147025364844
6,96;60,69113710552579
8,8;57,7808571029052
10,68;55,29540418481837
12,56;52,59464336859145
14,44;50,19442890773481
16,28;47,412132394305814
18,16;44,84273842003835
20,04;42,43778860286461
21,92;39,97592474146046
23,76;37,622580968809054
25,64;35,30619827228524
27,48;32,664106644381526
29,36;30,420744683971662
31,2;28,185573425864277
33,08;26,134761673541725
34,92;24,2108468994289
36,84;22,448714069531796
38,64;20,338621477593612
40,56;18,505078260988736
42,4;17,020525611519858
44,2;15,104530210949832
46,08;13,728204610526618
47,88;12,24576805205927
49,72;11,105201106163268
51,6;9,891358323078713
53,4;9,193157596368014
55,2;8,309447791563263
57,2;7,347595143177271
58,92;6,875342970109061
59,0;6,875342970109061
60,72;6,208288026100654
62,64;5,7626328865984515
64,36;5,092852759252873
64,48;5,092852759252873
66,28;4,64554467737275
